რეგიონი ,რაიონი,სკოლა,სამუშაოს ტიპი, თანხა 
იმერეთი,ზესტაფონი, №4 საჯარო სკოლა,რეაბილიტაცია,"42,087.41"
იმერეთი,ზესტაფონი,სოფ. მეორე სვირის საჯარო სკოლა,რეაბილიტაცია,"18,383.06"
იმერეთი,ზესტაფონი,ქვედა საქარას საჯარო სკოლა,რეაბილიტაცია,"4,416.20"
იმერეთი,ზესტაფონი,სოფ. შროშის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"43,848.24"
იმერეთი,ზესტაფონი, №5 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"12,088.90"
იმერეთი,ზესტაფონი, №7 საჯარო სკოლა,მომავლის კლასი,"31,362.58"
იმერეთი,ტყიბული,სოფ. გურნის საჯარო სკოლა,რეაბილიტაცია,"61,445.08"
იმერეთი,ტყიბული, №4 საჯარო სკოლა,რეაბილიტაცია,"56,326.39"
იმერეთი,ტყიბული, №1 საჯარო სკოლა,მომავლის კლასი,"26,851.18"
იმერეთი,თერჯოლა,"ბარდუბნის
 საჯარო სკოლა",რეაბილიტაცია,"95,625.47"
იმერეთი,თერჯოლა,სოფ. რუფოთის საჯარო სკოლა,რეაბილიტაცია,"24,974.00"
იმერეთი,თერჯოლა,სოფ. ქვედა სიმონეთის  №1 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"40,615.41"
იმერეთი,თერჯოლა, №1 საჯარო სკოლა,მომავლის კლასი,"31,397.06"
იმერეთი,ხარაგაული,სოფ. ბორის საჯარო სკოლა,რეაბილიტაცია,"35,095.45"
იმერეთი,ხარაგაული,სოფ. ვერტყვიჭალას საჯარო,რეაბილიტაცია,"47,642.61"
იმერეთი,ხარაგაული, №2 საჯარო სკოლა,რეაბილიტაცია,"26,001.72"
,ხარაგაული, №2 საჯარო სკოლა,მომავლის კლასი,"24,519.01"
იმერეთი,ხარაგაული,სოფ. ლაშის საჯარო სკოლა,რეაბილიტაცია,"4,751.21"
იმერეთი,ხარაგაული,სოფ. ბორითის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"18,624.13"
იმერეთი,ხარაგაული,სოფ. ხევის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"56,396.33"
იმერეთი,ხონი,სოფ. გოჩა ჯიხაიშის საჯარო სკოლა,რეაბილიტაცია,"30,000.00"
იმერეთი,ხონი,სოფ. ქუტირის საჯარო სკოლა,რეაბილიტაცია,"29,074.00"
იმერეთი,ხონი,სოფ. გორდის საჯარო სკოლა,რეაბილიტაცია,"33,219.12"
იმერეთი,ხონი,სოფ. სუხჩის საჯარო სკოლა,რეაბილიტაცია,"27,566.00"
იმერეთი,ხონი,სოფ. კინჩხის საჯარო სკოლა,რეაბილიტაცია,"29,094.20"
იმერეთი,ხონი, №2 საჯარო სკოლა,მომავლის კლასი,"32,767.81"
იმერეთი,საჩხერე, №1 საჯარო სკოლა,მომავლის კლასი,"30,137.20"
შიდა ქართლი,  კასპი,სოფ. ოკამის საჯარო სკოლა,რეაბილიტაცია,"76,500.15"
შიდა ქართლი,  კასპი,სოფ. კავთისხევის საჯარო სკოლა,რეაბილიტაცია,"55,976.60"
შიდა ქართლი,  კასპი,სოფ. ფერმის საჯარო სკოლა,რეაბილიტაცია,"14,278.00"
შიდა ქართლი,  კასპი,სოფ. ხოვლეს საჯარო სკოლა,მშენებლობა,"804,000.00"
შიდა ქართლი,  კასპი,სოფ. ხოვლეს საჯარო სკოლა,ტოპოგეოდეზიური და გეოლოგიური კვლევა,"9,310.00"
შიდა ქართლი,  კასპი, №1 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"21,727.49"
შიდა ქართლი,  კასპი, №2 საჯარო სკოლა,მომავლის კლასი,"24,192.62"
შიდა ქართლი,ქარელი,სოფ. ბებნისის საჯარო სკოლა,რეაბილიტაცია,"45,312.25"
შიდა ქართლი,ქარელი,№2 საჯარო სკოლა,რეაბილიტაცია,"20,456.10"
შიდა ქართლი,ქარელი,სოფ. ბერძენაულის საჯარო სკოლა,რეაბილიტაცია,"64,863.80"
შიდა ქართლი,ქარელი,სოფ. ზღუდრის საჯარო სკოლა,რეაბილიტაცია,"29,417.64"
შიდა ქართლი,ქარელი,სოფ. კეხიჯვრის საჯარო სკოლა,რეაბილიტაცია,"17,732.85"
შიდა ქართლი,ქარელი,სოფ. ურბნისის საჯარო სკოლა,რეაბილიტაცია,"183,415.72"
შიდა ქართლი,ქარელი, №1 საჯარო სკოლა,მომავლის კლასი,"27,762.32"
შიდა ქართლი,ხაშური, №1 საჯარო სკოლა,რეაბილიტაცია,"31,588.80"
შიდა ქართლი,ხაშური, №1 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"94,554.30"
შიდა ქართლი,ხაშური, №1 საჯარო სკოლა,რეაბილიტაცია,"326,063.07"
შიდა ქართლი,ხაშური, №3 საჯარო სკოლა,გაზმომარაგების სამუშაოები,"2,652.42"
შიდა ქართლი,ხაშური, №3 საჯარო სკოლა,მომავლის კლასი,"25,043.53"
შიდა ქართლი,ხაშური, №6 საჯარო სკოლა,რეაბილიტაცია,"13,160.46"
შიდა ქართლი,ხაშური, №6 საჯარო სკოლა,რეაბილიტაცია,"400,000.00"
შიდა ქართლი,ხაშური, №6 საჯარო სკოლა,გაზმომარაგების სამუშაოები,"2,593.71"
შიდა ქართლი,ხაშური, №7 საჯარო სკოლა,რეაბილიტაცია,"30,600.00"
შიდა ქართლი,ხაშური, №7 საჯარო სკოლა,რეაბილიტაცია,"315,073.73"
შიდა ქართლი,ხაშური, №7 საჯარო სკოლა,გაზმომარაგების სამუშაოები,"12,352.01"
შიდა ქართლი,ხაშური, №8 საჯარო სკოლა,რეაბილიტაცია,"21,278.33"
შიდა ქართლი,ხაშური, №8 საჯარო სკოლა,რეაბილიტაცია,"206,009.27"
შიდა ქართლი,ხაშური, №8 საჯარო სკოლა,გაზმომარაგების სამუშაოები,"11,598.22"
