რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი,სატენდერო ტანხა,სახელშეკრულებო თანხა
,,,,,25496.00
თბილისი,ძველი თბილისი,№150  საჯარო სკოლა,,43143.07,42150.00
თბილისი,ვაკე–საბურთალო,№123  საჯარო სკოლა,,50000.32,42907.00
თბილისი,ვაკე–საბურთალო,№60  საჯარო სკოლა,,49910.86,47777.00
თბილისი,ვაკე–საბურთალო,№128  საჯარო სკოლა,,49658.87,44999.00
თბილისი,ისანი–სამგორი,№157  საჯარო სკოლა,,50466.36,48880.00
თბილისი,ისანი–სამგორი,№131  საჯარო სკოლა,,53870.68,44998.00
თბილისი,ძველი თბილისი,№77  საჯარო სკოლა,,49466.62,43964.00
თბილისი,ისანი–სამგორი,№146  საჯარო სკოლა,,46328.88,45697.00
თბილისი,ვაკე–საბურთალო,№162  საჯარო სკოლა,,50000.20,38679.00
თბილისი,გლდანი–ნაძალადევი,№138  საჯარო სკოლა,,49984.40,32770.00
თბილისი,გლდანი–ნაძალადევი,№175  საჯარო სკოლა,,51814.58,47150.00
თბილისი,გლდანი–ნაძალადევი,№59  საჯარო სკოლა,,49765.15,44998.00
თბილისი,გლდანი–ნაძალადევი,№69  საჯარო სკოლა,,49491.58,40951.00
თბილისი,გლდანი–ნაძალადევი,№12  საჯარო სკოლა,,50864.70,37100.00
თბილისი,გლდანი–ნაძალადევი,№133  საჯარო სკოლა,,29149.36,28522.00
თბილისი,გლდანი–ნაძალადევი,№141  საჯარო სკოლა,,50575.80,48959.00
თბილისი,გლდანი–ნაძალადევი,№48  საჯარო სკოლა,,51064.94,44548.30
თბილისი,ძველი თბილისი,№36  საჯარო სკოლა,,39057.51,35760.00
თბილისი,ძველი თბილისი,№31  საჯარო სკოლა,,42981.49,36270.00
თბილისი,ისანი–სამგორი,№117  საჯარო სკოლა,,121248.64,114000.00
თბილისი,ისანი–სამგორი,№168  საჯარო სკოლა,,51096.27,48863.00
თბილისი,ისანი–სამგორი,№83  საჯარო სკოლა,,51993.32,50375.00
თბილისი,ისანი–სამგორი,№99  საჯარო სკოლა,,51934.13," 37,000.00 "
თბილისი,დიდგორი,წავკისის  საჯარო სკოლა,,67810.19," 53,500.00 "
თბილისი,ისანი–სამგორი,№92  საჯარო სკოლა,,50644.16,
თბილისი,ვაკე–საბურთალო,№161  საჯარო სკოლა,,105009.87,98950
თბილისი,ძველი თბილისი,№84  საჯარო სკოლა,პროექტირება,,
